REGION,C_REGION,DISTRITO,C_DISTRITO,COMUNA,C_COMUNA
DE LOS LAGOS,3010,DISTRITO 25,6025,RIO NEGRO,2730
DE LOS LAGOS,3010,DISTRITO 25,6025,SAN JUAN DE LA COSTA,2731
DE LOS LAGOS,3010,DISTRITO 25,6025,SAN PABLO,2732
DE LOS LAGOS,3010,DISTRITO 26,6026,ANCUD,2717
DE LOS LAGOS,3010,DISTRITO 26,6026,CALBUCO,2708
DE LOS LAGOS,3010,DISTRITO 26,6026,CASTRO,2716
DE LOS LAGOS,3010,DISTRITO 26,6026,CHAITEN,2733
DE LOS LAGOS,3010,DISTRITO 26,6026,CHONCHI,2718
DE LOS LAGOS,3010,DISTRITO 26,6026,COCHAMO,2709
DE LOS LAGOS,3010,DISTRITO 26,6026,CURACO DE VELEZ,2719
DE LOS LAGOS,3010,DISTRITO 26,6026,DALCAHUE,2720
DE LOS LAGOS,3010,DISTRITO 26,6026,FUTALEUFU,2734
DE LOS LAGOS,3010,DISTRITO 26,6026,HUALAIHUE,2735
DE LOS LAGOS,3010,DISTRITO 26,6026,MAULLIN,2714
DE LOS LAGOS,3010,DISTRITO 26,6026,PALENA,2736
DE LOS LAGOS,3010,DISTRITO 26,6026,PUERTO MONTT,2707
DE LOS LAGOS,3010,DISTRITO 26,6026,PUQUELDON,2721
DE LOS LAGOS,3010,DISTRITO 26,6026,QUEILEN,2722
DE LOS LAGOS,3010,DISTRITO 26,6026,QUELLON,2723
DE LOS LAGOS,3010,DISTRITO 26,6026,QUEMCHI,2724
DE LOS LAGOS,3010,DISTRITO 26,6026,QUINCHAO,2725
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,AYSEN,2739
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,CHILE CHICO,2745
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,CISNES,2740
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,COCHRANE,2742
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,COYHAIQUE,2737
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,GUAITECAS,2741
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,LAGO VERDE,2738
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,O'HIGGINS,2743
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,RIO IBAÑEZ,2746
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3011,DISTRITO 27,6027,TORTEL,2744
DE MAGALLANES Y DE LA ANTARTICA CHILENA,3012,DISTRITO 28,6028,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751
DE MAGALLANES Y DE LA ANTARTICA CHILENA,3012,DISTRITO 28,6028,LAGUNA BLANCA,2748
DE MAGALLANES Y DE LA ANTARTICA CHILENA,3012,DISTRITO 28,6028,NATALES,2756
